"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"15597",32.9,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","French","Both English and French","Natural and applied sciences and related occupations","3"
"15598",54.9,6,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Fair","English","English only","Sales and service occupations","2"
"15599",53.1,1,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Very good","English","Both English and French","Uncodable","2"
"15600",15.7,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Excellent","French","Both English and French","Occupations in education, law and social, community and ...","1"
"15601",25.8,1,10,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","French","Both English and French","Business, finance, and administration occupations","2"
"15602",72,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Fair","Very good","English","English only","Sales and service occupations","2"
"15603",60.1,1,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Very good","Very good","English","English only","Management occupations","6"
"15605",52.3,3,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","Non-official languages","French only","Occupations in art, culture, recreation and sport","2"
"15615",27.4,0,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Health occupations","1"
"15621",54.7,0,8,"Female","Born in Canada","Separated","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in manufacturing and utilities","2"
"15622",54.2,2,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in art, culture, recreation and sport","1"
"15623",43.8,0,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Management occupations","1"
"15626",32,1,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Good","English","English only","Business, finance, and administration occupations","2"
"15628",32.4,2,6,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Very good","English","English only","Business, finance, and administration occupations","2"
"15629",56.3,3,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Excellent","Excellent","French","Both English and French","Business, finance, and administration occupations","2"
"15630",36.2,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Health occupations","4"
"15632",61.1,1,8,"Female","Born in Canada","Separated","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Fair","English","English only","Sales and service occupations","1"
"15633",36.1,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"15636",30.8,2,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Good","French","French only","Trades, transport and equipment operators and related oc...","2"
"15637",48.8,0,7,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Excellent","Non-official languages","English only","Business, finance, and administration occupations","2"
"15644",58.7,4,8,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Very good","Good","English","Both English and French","Health occupations","6"
"15646",60.8,2,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","English","English only","Occupations in art, culture, recreation and sport","1"
"15647",36.5,0,8,"Female","Born in Canada","Separated","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Good","English and French","Both English and French","Natural and applied sciences and related occupations","3"
"15648",58.3,0,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","2"
"15649",30.2,1,9,"Male","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Health occupations","2"
"15653",32.2,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","5"
"15654",40.3,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","3"
"15655",33.9,0,6,"Male","Born in Canada","Divorced","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English and non-official language","English only","Business, finance, and administration occupations","2"
"15656",57.8,2,8,"Female","Born in Canada","Separated","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Management occupations","6"
"15657",60.1,1,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","English","English only","Management occupations","6"
"15658",48.6,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","English","English only","Sales and service occupations","1"
"15659",64.2,0,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English","English only","Sales and service occupations","3"
"15660",54.6,2,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"15661",60.3,1,10,"Female","Born in Canada","Separated","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Excellent","Excellent","English","Both English and French","Occupations in education, law and social, community and ...","5"
"15662",55.4,3,5,"Female","Born outside Canada","Widowed","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Good","Non-official languages","English only","Business, finance, and administration occupations","4"
"15663",34,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Very good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","2"
"15665",41.8,1,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Excellent","English and French","Both English and French","Sales and service occupations","1"
"15666",46.3,2,8,"Female","Born outside Canada","Married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English and non-official language","English only","Sales and service occupations","3"
"15667",22.3,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","40.1 to 50.0 hours","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","2"
"15669",71.7,2,5,"Female","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Fair","Good","English","English only","Management occupations","3"
"15674",33.4,0,6,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Fair","English","English only","Natural and applied sciences and related occupations","4"
"15675",27.4,0,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","French","Both English and French","Business, finance, and administration occupations","2"
"15676",53.2,2,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","Don't know","Good","Good","English","English only","Natural resources, agriculture and related production oc...","6"
"15677",60.3,1,9,"Female","Born outside Canada","Single, never married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Health occupations","3"
"15681",53.9,2,7,"Female","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Good","English","English only","Sales and service occupations","3"
"15682",44.8,2,7,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","French","Both English and French","Natural and applied sciences and related occupations","3"
"15683",54.7,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","French","Both English and French","Business, finance, and administration occupations","2"
"15685",66.8,3,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Excellent","English","English only","Sales and service occupations","1"
"15686",36.2,0,9,"Female","Born in Canada","Married","Visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","4"
"15687",53.4,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","50.1 hours and more","Very good","Excellent","French","French only","Trades, transport and equipment operators and related oc...","2"
"15690",56.4,4,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Excellent","French","French only","Business, finance, and administration occupations","3"
"15691",51,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"15694",45.9,1,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","4"
"15698",48.7,0,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Poor","Fair","English","English only","Sales and service occupations","1"
"15700",64.9,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Excellent","Excellent","English","Both English and French","Occupations in education, law and social, community and ...","4"
"15701",47.1,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Sales and service occupations","2"
"15703",52.1,1,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","50.1 hours and more","Excellent","Excellent","French","Both English and French","Management occupations","5"
"15704",21.4,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Very good","English","English only","Natural and applied sciences and related occupations","1"
"15705",69,4,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Very good","English","English only","Business, finance, and administration occupations","3"
"15706",44.3,3,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","5"
"15707",20.3,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Occupations in manufacturing and utilities","1"
"15711",34.3,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","Both English and French","Sales and service occupations","2"
"15713",53,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Very good","English","English only","Business, finance, and administration occupations","2"
"15714",51.8,3,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Good","English","English only","Natural and applied sciences and related occupations","2"
"15715",15.8,0,10,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Excellent","English and non-official language","English only","Sales and service occupations","1"
"15717",48.1,2,7,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Good","Good","English","English only","Health occupations","6"
"15718",53.2,4,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","1"
"15719",56.1,2,9,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Very good","Excellent","English","English only","Occupations in education, law and social, community and ...","5"
"15721",18.7,0,3,"Male","Born outside Canada","Single, never married","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Poor","English","English only","Sales and service occupations","1"
"15722",59.4,3,9,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Very good","Non-official languages","English only","Sales and service occupations","1"
"15724",53.4,2,9,"Male","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Very good","Very good","Non-official languages","English only","Occupations in education, law and social, community and ...","6"
"15726",48.8,5,7,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"15727",51.8,3,7,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Fair","Very good","English and non-official language","Both English and French","Occupations in education, law and social, community and ...","2"
"15729",59.3,1,10,"Male","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Excellent","Excellent","English","English only","Occupations in manufacturing and utilities","2"
"15730",58.5,1,9,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","50.1 hours and more","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","6"
"15731",28.9,0,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","French","Both English and French","Natural and applied sciences and related occupations","3"
"15733",46.8,1,9,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Excellent","Excellent","English","English only","Health occupations","5"
"15734",61.5,2,5,"Female","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Good","English and non-official language","English only","Occupations in education, law and social, community and ...","1"
"15735",26.8,0,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Fair","English","English only","Occupations in education, law and social, community and ...","3"
"15739",46.9,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","French","Both English and French","Health occupations","4"
"15742",71.3,4,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","Don't know","Good","Very good","English","English only","Trades, transport and equipment operators and related oc...","1"
"15743",31.4,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Good","English","Both English and French","Management occupations","2"
"15744",63.1,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","1"
"15745",69.8,2,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","5"
"15747",43.9,1,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","English","English only","Business, finance, and administration occupations","2"
"15750",49.7,1,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","2"
"15753",25.7,0,7,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","English and non-official language","English only","Health occupations","2"
"15754",35.4,0,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","4"
"15758",46.8,1,8,"Female","Born outside Canada","Married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Very good","English and non-official language","English only","Health occupations","2"
"15759",28.1,0,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Very good","Excellent","French","French only","Health occupations","2"
"15761",71.8,4,5,"Female","Born in Canada","Widowed","Visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Fair","Fair","English","English only","Sales and service occupations","2"
"15762",59.6,2,9,"Male","Born outside Canada","Married","Visible minority","By naturalization","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Good","Non-official languages","English only","Sales and service occupations","2"
"15763",52.7,2,10,"Male","Born outside Canada","Married","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","50.1 hours and more","Good","Very good","English and non-official language","English only","Trades, transport and equipment operators and related oc...","1"
"15765",52.7,1,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Natural and applied sciences and related occupations","4"
"15766",40.3,1,9,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Excellent","French","Both English and French","Management occupations","5"
"15767",34.9,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","Both English and French","Occupations in manufacturing and utilities","4"
"15769",62.7,0,5,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English","English only","Sales and service occupations","2"
"15770",59.3,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","6"
"15771",16.8,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Excellent","French","French only","Sales and service occupations","1"
"15774",61.6,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","50.1 hours and more","Very good","Excellent","English","English only","Business, finance, and administration occupations","4"
"15775",59.5,4,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English and non-official language","English only","Management occupations","2"
"15777",34.8,3,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Sales and service occupations","2"
"15778",40.9,0,8,"Female","Born in Canada","Single, never married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","English","English only","Health occupations","4"
"15779",39.5,3,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Occupations in manufacturing and utilities","2"
"15781",40.3,1,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Very good","English and non-official language","English only","Natural and applied sciences and related occupations","4"
"15783",53.9,2,5,"Female","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Poor","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"15787",45.7,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","4"
"15788",18.5,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","1"
"15790",25.8,2,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"15793",36.2,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","4"
"15795",44.5,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Excellent","Very good","English and non-official language","Both English and French","Business, finance, and administration occupations","2"
"15796",51.5,2,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","French","Both English and French","Natural and applied sciences and related occupations","4"
"15798",49.3,0,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","English and non-official language","English only","Occupations in manufacturing and utilities","2"
"15799",80,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","6"
"15801",33.3,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","French","Both English and French","Occupations in education, law and social, community and ...","2"
"15804",55.3,5,2,"Male","Born outside Canada","Divorced","Not a visible minority","By naturalization","Trade certificate or diploma","30.0 to 40.0 hours","Fair","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"15806",54.3,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"15807",30,0,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","English","English only","Sales and service occupations","2"
"15808",51.6,2,9,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Excellent","Excellent","English","English only","Sales and service occupations","5"
"15813",47.8,1,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","English","English only","Trades, transport and equipment operators and related oc...","3"
"15814",25.2,0,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","50.1 hours and more","Good","Excellent","English","English only","Management occupations","2"
"15817",34.8,0,9,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Fair","Good","English and non-official language","English only","Health occupations","3"
"15818",27.4,0,7,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","1"
"15819",49.4,1,7,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Good","English","English only","Occupations in education, law and social, community and ...","4"
"15820",25.3,0,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Good","English","English only","Sales and service occupations","1"
"15824",45.8,1,3,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","2"
"15829",54,0,9,"Female","Born in Canada","Divorced","Don't know","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","3"
"15831",63.3,3,7,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Business, finance, and administration occupations","3"
"15833",56,0,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","English","English only","Natural and applied sciences and related occupations","5"
"15836",73.5,2,6,"Male","Born in Canada","Divorced","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Good","English","English only","Natural resources, agriculture and related production oc...","2"
"15837",32.8,2,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Good","English","English only","Sales and service occupations","2"
"15838",46.8,1,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","6"
"15841",57,0,7,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Good","French","French only","Business, finance, and administration occupations","3"
"15842",55.7,3,9,"Female","Born outside Canada","Divorced","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Very good","Excellent","English","English only","Business, finance, and administration occupations","4"
"15844",19.8,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","1"
"15845",24.5,0,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Natural and applied sciences and related occupations","4"
"15847",62.8,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","English","English only","Natural and applied sciences and related occupations","1"
